Id,Nome,Categoria,Sub-categoria,Valor,Sistema ,Fisico ,Situação,Data,Motivo,Resolvido ? ,Como ?
27192,Câmera traseira do iPhone SE 3°,Manutenção Câmera,M. iPhone SE 3,"500,00",2,2,OK,2025-08-14,,,
27193,Câmera frontal do iPhone SE 3º,Manutenção Câmera,M. iPhone SE 3,"400,00",2,2,OK,2025-08-14,,,
20833,Conector de Carga iPhone SE - Preto,Manutenção Conector,M. iPhone SE,"0,00",3,3,OK,2025-08-14,,,
20834,Conector de Carga iPhone SE - Branco,Manutenção Conector,M. iPhone SE,"0,00",3,3,OK,2025-08-14,,,
21227,Câmera Traseira - iPhone SE,Manutenção Câmera,M. iPhone SE,"150,00",3,3,OK,2025-08-14,,,
4497,Bateria de iPhone 6,Manutenção Bateria,M. iPhone 6,"180,00",4,4,OK,2025-08-14,,,
21547,Flex Power/Volume/Vibra - iPhone SE,Manutenção Vibra / Volume / Power,M. iPhone SE,"400,00",2,2,OK,2025-08-14,,,
24136,Flex do conector de carga para iPhone SE - Branco,Manutenção Conector,M. iPhone SE,"600,00",2,2,OK,2025-08-14,,,
24137,Flex do conector de carga para iPhone SE - Preto,Manutenção Conector,M. iPhone SE,"200,00",6,6,OK,2025-08-14,,,
21909,Conector de Carga iPhone 8 Plus - Branco,Manutenção Conector,M. iPhone 8 Plus,"0,00",5,0,DIVERGENTE,2025-08-14,remover codigo antigo ,Sim,
21910,Conector de Carga iPhone 8 Plus - Preto,Manutenção Conector,M. iPhone 8 Plus,"0,00",11,11,OK,2025-08-14,,,
21911,Câmera Traseira - iPhone 8 Plus,Manutenção Câmera,M. iPhone 8 Plus,"0,00",3,0,DIVERGENTE,2025-08-14,remover codigo antigo ,Sim,
4725,Carcaça iPhone 6 - Prata,Manutenção Carcaça/Vidro Traseiro,M. iPhone 6,"150,00",2,3,DIVERGENTE,2025-08-14,gerar novo codigo,,
4726,Carcaça iPhone 6 - Cinza Espacial,Manutenção Carcaça/Vidro Traseiro,M. iPhone 6,"150,00",2,1,DIVERGENTE,2025-08-14,Falta - 5480076,Sim,
4728,Bateria de iPhone 6 Plus,Manutenção Bateria,M. iPhone 6 Plus,"150,00",4,4,OK,2025-08-14,,,
21912,Câmera Frontal e Sensor de Proximidade - iPhone 8 Plus,Manutenção Câmera,M. iPhone 8 Plus,"0,00",5,5,OK,2025-08-14,,,
21913,Speaker - iPhone 8 Plus,Manutenção Speaker,M. iPhone 8 Plus,"300,00",3,3,OK,2025-08-14,,,
21914,Alto-Falante iPhone 8 Plus,Manutenção Alto Falante,M. iPhone 8 Plus,"150,00",6,3,DIVERGENTE,2025-08-14,"falta - 8495907, 8495906, 8495905",Sim,
5049,Carcaça iPhone 6 Plus - Cinza Espacial,Manutenção Carcaça/Vidro Traseiro,M. iPhone 6 Plus,"150,00",5,5,OK,2025-08-14,,,
5702,Carcaça iPhone 6S - Prata,Manutenção Carcaça/Vidro Traseiro,M. iPhone 6S,"150,00",2,2,OK,2025-08-14,,,
5703,Carcaça iPhone 6S - Dourado,Manutenção Carcaça/Vidro Traseiro,M. iPhone 6S,"150,00",2,2,OK,2025-08-14,,,
5704,Carcaça iPhone 6S - Cinza Espacial,Manutenção Carcaça/Vidro Traseiro,M. iPhone 6S,"150,00",2,2,OK,2025-08-14,,,
5705,Carcaça iPhone 6S - Rose Gold,Manutenção Carcaça/Vidro Traseiro,M. iPhone 6S,"150,00",3,3,OK,2025-08-14,,,
21915,Flex Power/Volume - iPhone 8 Plus,Manutenção Vibra / Volume / Power,M. iPhone 8 Plus,"300,00",3,3,OK,2025-08-14,,,
22002,Lente de Vidro da Câmera iPhone 8 Plus - Rose,Manutenção Câmera,M. iPhone 8 Plus,"200,00",2,2,OK,2025-08-14,,,
22578,Motor do Vibra - iPhone 8 Plus,Manutenção Vibra / Volume / Power,M. iPhone 8 Plus,"0,00",4,0,DIVERGENTE,2025-08-14,remover codigo antigo ,Sim,
23981,Câmera Traseira para iPhone 8 Plus,Manutenção Câmera,M. iPhone 8 Plus,"200,00",2,2,OK,2025-08-14,,,
23985,Flex de Conector de Carga para iPhone 8 Plus Branco,Manutenção Conector,M. iPhone 8 Plus,"300,00",2,2,OK,2025-08-14,,,
23988,Flex de Conector de Carga para iPhone 8 Plus Preto,Manutenção Conector,M. iPhone 8 Plus,"300,00",4,4,OK,2025-08-14,,,
24121,Câmera Frontal e Sensor para iPhone 8 Plus,Manutenção Câmera,M. iPhone 8 Plus,"200,00",5,0,DIVERGENTE,2025-08-14,remover codigo antigo ,sim,
8157,Bateria de iPhone 6S Plus,Manutenção Bateria,M. iPhone 6S Plus,"200,00",4,4,OK,2025-08-14,,,
24122,Motor de função vibratória para iPhone 8 Plus,Manutenção Vibra / Volume / Power,M. iPhone 8 Plus,"200,00",4,4,OK,2025-08-14,,,
